lon,lat,accum,n_obs
-71.61196965288129,-30.641260512480795,-210.65434730939256,34.0
-71.61197692463503,-30.641530941949405,-164.9659064779207,34.0
-71.61198419648719,-30.6418013714052,-143.35898688764073,34.0
-71.61199146843772,-30.64207180084818,-167.14569283810218,34.0
-71.61199874048667,-30.642342230278324,-122.83665830547379,34.0
-71.61200601263403,-30.642612659695665,-133.8201070517117,34.0
-71.61201328487978,-30.642883089100177,-145.92965623718734,34.0
-71.61202055722396,-30.643153518491864,-127.75357112142473,34.0
-71.61202782966653,-30.64342394787074,-182.2768633576755,34.0
-71.61203510220751,-30.6436943772368,-125.66913140966965,34.0
-71.6120423748469,-30.643964806590017,-146.35318286456976,34.0
-71.61204964758471,-30.644235235930427,-120.40866497400505,34.0
-71.61189688856877,-30.65019096762879,-117.15772950487559,34.0
-71.61190416270165,-30.65046139674164,-201.94410214396532,34.0
-71.61191143693296,-30.65073182584167,-157.42640195858763,34.0
-71.61191871126272,-30.65100225492887,-158.29217769478322,34.0
-71.61192598569089,-30.651272684003253,-197.22123161783313,34.0
-71.61193326021748,-30.651543113064804,-130.21409459208186,34.0
-71.6119405348425,-30.65181354211353,-179.05507784598603,34.0
-71.61194780956598,-30.652083971149438,-183.90693146265625,34.0
-71.61195508438787,-30.652354400172527,-168.73022905163606,34.0
-71.61196235930821,-30.652624829182788,-118.5015337116337,34.0
-71.61196963432697,-30.652895258180227,-183.72610350435104,34.0
-71.61197690944418,-30.653165687164847,-160.65097496489184,34.0
-71.61198418465983,-30.653436116136643,-120.35748188447887,34.0
-71.61199145997391,-30.653706545095616,-134.0624889890955,34.0
-71.61199873538644,-30.65397697404176,-144.18786962333718,34.0
-71.61223150267188,-30.639361218330396,-176.24417068361026,34.0
-71.61223877460505,-30.63963164782142,-133.48740012494503,34.0
-71.61224604663666,-30.63990207729962,-112.74203291851441,34.0
-71.61225331876665,-30.640172506765,-126.88337140248119,34.0
-71.61226059099505,-30.64044293621756,-122.84780800416931,34.0
-71.61226786332186,-30.6407133656573,-172.44023384698636,34.0
-71.61227513574708,-30.640983795084228,-187.70194779292444,34.0
-71.61228240827072,-30.64125422449833,-160.42390402451048,34.0
-71.61228968089276,-30.641524653899605,-231.2962783738575,34.0
-71.61229695361321,-30.641795083288063,-198.7000905278451,34.0
-71.61230422643209,-30.642065512663702,-124.93056085069618,34.0
-71.61231149934936,-30.642335942026524,-138.12287735157514,34.0
-71.61231877236507,-30.642606371376527,-187.8572778190342,34.0
-71.6123260454792,-30.6428768007137,-143.8643348833633,34.0
-71.61233331869173,-30.64314723003806,-144.2968973334566,34.0
-71.61234059200268,-30.6434176593496,-218.6431197247594,34.0
-71.61234786541206,-30.64368808864832,-109.83436620769571,34.0
-71.61235513891985,-30.6439585179342,-155.66542116268178,34.0
-71.61236241252608,-30.64422894720728,-188.57234973187377,34.0
-71.61238423393529,-30.645040234949573,-103.19027949309877,34.0
-71.61239150793521,-30.64531066417136,-187.27417873034423,34.0
-71.61219512300889,-30.64964382004613,-133.28891022370513,34.0
